iter	Passed	Remaining
479	677	733
480	679	733
481	680	731
482	682	730
483	684	729
484	686	728
485	687	727
486	689	726
487	690	724
488	692	723
489	693	722
490	695	720
491	697	719
492	698	718
493	700	717
494	702	716
495	703	714
496	704	713
497	706	711
498	707	710
499	709	709
500	710	707
501	711	706
502	713	704
503	714	703
504	716	702
505	718	701
506	719	699
507	721	698
508	723	697
509	725	696
510	726	695
511	728	694
512	730	693
513	731	691
514	733	690
515	734	689
516	736	687
517	737	686
518	739	685
519	741	684
520	742	682
521	744	682
522	746	680
523	747	679
524	749	678
525	750	676
526	752	675
527	754	674
528	755	672
529	757	671
530	759	670
531	760	669
532	762	668
533	764	667
534	766	665
535	767	664
536	769	663
537	770	661
538	772	660
539	774	659
540	775	657
541	776	656
542	778	654
543	780	653
544	781	652
545	783	651
546	784	650
547	786	648
548	787	646
549	789	645
550	790	644
551	792	643
552	793	641
553	795	640
554	796	639
555	798	637
556	800	636
557	802	635
558	803	633
559	804	632
560	806	631
561	807	629
562	809	628
563	810	626
564	812	625
565	813	624
566	815	622
567	816	621
568	818	619
569	819	618
570	821	617
571	823	616
572	824	614
573	826	613
574	827	611
575	829	610
576	831	609
577	833	608
578	834	607
579	836	605
580	837	604
581	839	602
582	840	601
583	842	600
584	843	598
585	845	597
586	846	595
587	848	594
588	849	593
589	851	591
590	853	590
591	855	589
592	856	588
593	858	586
594	859	585
595	861	583
596	862	582
597	864	580
598	865	579
599	867	578
600	868	576
601	869	575
602	871	573
603	872	572
604	874	571
605	876	569
606	878	568
607	879	567
608	881	565
609	882	564
610	884	563
611	885	561
612	887	560
613	888	558
614	890	557
615	891	555
616	893	554
617	894	553
618	895	551
619	897	549
620	898	548
621	900	546
622	901	545
623	903	544
624	905	543
625	906	541
626	907	540
627	909	538
628	911	537
629	912	535
630	913	534
631	915	532
632	916	531
633	918	530
634	919	528
635	922	527
636	923	526
637	924	524
638	926	523
639	928	522
640	929	520
641	931	519
642	932	517
643	934	516
644	935	515
645	937	513
646	939	512
647	941	511
648	943	510
649	944	508
650	945	507
651	947	505
652	949	504
653	950	503
654	952	501
655	953	500
656	955	498
657	956	497
658	958	495
659	959	494
660	960	492
661	962	491
662	963	489
663	965	488
664	966	487
665	968	485
666	969	484
667	971	482
668	972	481
669	973	479
670	975	478
671	976	476
672	978	475
673	979	473
674	981	472
675	982	470
676	983	469
677	984	467
678	986	466
679	987	464
680	988	463
681	989	461
682	990	459
683	992	458
684	993	456
685	994	455
686	996	454
687	998	452
688	999	451
689	1000	449
690	1001	448
691	1003	446
692	1004	445
693	1006	443
694	1007	442
695	1009	440
696	1010	439
697	1011	437
698	1012	436
699	1014	434
700	1015	433
701	1017	431
702	1018	430
703	1019	428
704	1021	427
705	1022	425
706	1024	424
707	1025	422
708	1026	421
709	1028	420
710	1029	418
711	1031	417
712	1032	415
713	1033	414
714	1035	412
715	1036	411
716	1037	409
717	1039	408
718	1040	406
719	1042	405
720	1043	403
721	1044	402
722	1046	400
723	1047	399
724	1048	397
725	1050	396
726	1051	394
727	1052	393
728	1054	391
729	1055	390
730	1056	388
731	1058	387
732	1059	385
733	1060	384
734	1061	382
735	1063	381
736	1064	379
737	1065	378
738	1067	377
739	1069	375
740	1070	374
741	1071	372
742	1073	371
743	1074	369
744	1076	368
745	1077	366
746	1079	365
747	1081	364
748	1082	362
749	1083	361
750	1085	359
751	1087	358
752	1088	357
753	1090	355
754	1091	354
755	1093	352
756	1094	351
757	1095	349
758	1097	348
759	1098	346
760	1100	345
761	1101	344
762	1103	342
763	1104	341
764	1105	339
765	1107	338
766	1108	336
767	1109	335
768	1110	333
769	1112	332
770	1113	330
771	1115	329
772	1116	327
773	1118	326
774	1119	325
775	1120	323
776	1122	322
777	1123	320
778	1124	319
779	1126	317
780	1127	316
781	1129	314
782	1130	313
783	1132	311
784	1133	310
785	1134	308
786	1136	307
787	1137	305
788	1138	304
789	1139	302
790	1140	301
791	1142	299
792	1143	298
793	1144	297
794	1146	295
795	1147	294
796	1148	292
797	1150	291
798	1152	289
799	1153	288
800	1154	286
801	1155	285
802	1157	283
803	1158	282
804	1160	281
805	1161	279
806	1163	278
807	1164	276
808	1165	275
809	1167	273
810	1168	272
811	1170	270
812	1171	269
813	1173	268
814	1174	266
815	1175	265
816	1177	263
817	1178	262
818	1179	260
819	1181	259
820	1182	257
821	1184	256
822	1185	254
823	1186	253
824	1188	252
825	1189	250
826	1191	249
827	1192	247
828	1193	246
829	1195	244
830	1196	243
831	1198	241
832	1199	240
833	1200	239
834	1202	237
835	1203	236
836	1205	234
837	1206	233
838	1208	231
839	1209	230
840	1211	229
841	1212	227
842	1214	226
843	1215	224
844	1217	223
845	1218	221
846	1220	220
847	1221	219
848	1223	217
849	1224	216
850	1225	214
851	1227	213
852	1229	211
853	1230	210
854	1232	208
855	1233	207
856	1235	206
857	1236	204
858	1237	203
859	1239	201
860	1241	200
861	1242	198
862	1243	197
863	1245	196
864	1247	194
865	1248	193
866	1249	191
867	1251	190
868	1252	188
869	1253	187
870	1255	185
871	1256	184
872	1258	183
873	1259	181
874	1261	180
875	1262	178
876	1264	177
877	1265	175
878	1267	174
879	1269	173
880	1270	171
881	1271	170
882	1273	168
883	1274	167
884	1276	165
885	1277	164
886	1278	162
887	1279	161
888	1281	160
889	1283	158
890	1284	157
891	1286	155
892	1287	154
893	1288	152
894	1290	151
895	1291	149
896	1292	148
897	1293	146
898	1295	145
899	1296	144
900	1298	142
901	1299	141
902	1300	139
903	1302	138
904	1303	136
905	1305	135
906	1306	133
907	1308	132
908	1309	131
909	1310	129
910	1312	128
911	1313	126
912	1314	125
913	1316	123
914	1317	122
915	1319	120
916	1320	119
917	1322	118
918	1323	116
919	1325	115
920	1326	113
921	1328	112
922	1329	110
923	1331	109
924	1332	108
925	1334	106
926	1335	105
927	1337	103
928	1339	102
929	1340	100
930	1341	99
931	1343	98
932	1345	96
933	1346	95
934	1348	93
935	1350	92
936	1351	90
937	1353	89
938	1354	88
939	1356	86
940	1357	85
941	1359	83
942	1360	82
943	1362	80
944	1363	79
945	1365	77
946	1366	76
947	1368	75
948	1369	73
949	1371	72
950	1373	70
951	1374	69
952	1376	67
953	1378	66
954	1380	65
955	1381	63
956	1383	62
957	1385	60
958	1386	59
959	1388	57
960	1390	56
961	1391	54
962	1392	53
963	1394	52
964	1395	50
965	1397	49
966	1398	47
967	1400	46
968	1401	44
969	1402	43
970	1404	41
971	1406	40
972	1408	39
973	1410	37
974	1411	36
975	1413	34
976	1415	33
977	1417	31
978	1419	30
979	1421	29
980	1423	27
981	1425	26
982	1426	24
983	1428	23
984	1429	21
985	1431	20
986	1433	18
987	1435	17
988	1437	15
989	1439	14
990	1441	13
991	1443	11
992	1445	10
993	1446	8
994	1448	7
995	1449	5
996	1451	4
997	1453	2
998	1455	1
999	1457	0
